item1,item2,value1,value2,value3,value4,value5,value6,value7
100年 1月,花蓮縣,56.42,0.0,28.7,3.0,0.54,13.9,38.2
100年 1月,澎湖縣,66.22,0.0,0.0,0.0,0.0,0.0,0.0
100年 1月,基隆市,40.88,0.0,27.3,2.2,0.42,10.8,38.8
100年 1月,新竹市,51.51,0.0,39.7,3.4,0.42,16.8,35.4
100年 1月,嘉義市,117.5,0.0,67.9,4.8,0.58,23.5,43.9
100年 1月,金門縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 1月,連江縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 2月,新北市,87.35,0.0,50.9,3.34,0.6,20.5,50.54
100年 2月,臺北市,58.32,0.0,53.6,2.72,0.73,28.26,44.54
100年 2月,桃園市,82.54,0.0,59.5,4.2,0.54,20.45,47.45
100年 2月,臺中市,71.22,0.0,70.7,3.06,0.61,21.6,52.16
100年 2月,臺南市,129.95,0.0,106.9,3.73,0.55,18.85,65.58
100年 2月,高雄市,147.8,0.0,107.2,7.24,0.64,24.78,75.86
100年 2月,宜蘭縣,31.81,0.0,38.6,1.85,0.44,9.6,50.35
100年 2月,新竹縣,81.6,0.0,55.8,3.3,0.46,15.1,51.05
100年 2月,苗栗縣,95.13,0.0,60.0,2.9,0.46,16.3,51.2
100年 2月,彰化縣,78.56,0.0,79.5,3.95,0.48,18.15,52.45
100年 2月,南投縣,68.33,0.0,83.3,2.8,0.59,21.35,62.9
100年 2月,雲林縣,128.66,0.0,89.4,2.85,0.47,17.15,58.3
100年 2月,嘉義縣,159.01,0.0,99.8,2.9,0.45,13.85,62.75
100年 2月,屏東縣,118.67,0.0,77.5,3.53,0.48,12.5,75.17
100年 2月,臺東縣,67.36,0.0,34.4,2.5,0.43,6.9,49.1
100年 2月,花蓮縣,45.5,0.0,33.8,2.4,0.51,12.2,49.3
100年 2月,澎湖縣,70.22,0.0,0.0,0.0,0.0,0.0,0.0
100年 2月,基隆市,59.06,0.0,37.8,2.3,0.56,16.0,50.3
100年 2月,新竹市,61.28,0.0,66.7,3.4,0.54,20.5,48.6
100年 2月,嘉義市,107.54,0.0,106.0,3.8,0.64,22.2,63.6
100年 2月,金門縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 2月,連江縣,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100年 3月,新北市,67.69,0.0,60.8,3.86,0.55,19.87,57.3
100年 3月,臺北市,71.93,0.0,64.9,3.5,0.69,28.04,51.82
100年 3月,桃園市,61.63,0.0,64.2,5.05,0.48,20.45,54.4
100年 3月,臺中市,109.05,0.0,74.5,3.88,0.58,23.08,58.3
100年 3月,臺南市,114.44,0.0,102.5,4.83,0.5,19.38,75.33
100年 3月,高雄市,160.78,0.0,110.9,7.79,0.58,24.48,78.81
100年 3月,宜蘭縣,57.75,0.0,46.5,2.2,0.4,11.75,53.7
100年 3月,新竹縣,66.07,0.0,60.0,3.3,0.41,15.35,55.0
100年 3月,苗栗縣,84.42,0.0,62.7,3.55,0.43,16.95,54.4
100年 3月,彰化縣,93.49,0.0,79.4,5.25,0.44,20.35,53.7
100年 3月,南投縣,76.06,0.0,96.3,3.55,0.58,22.75,70.75
100年 3月,雲林縣,143.63,0.0,91.4,3.8,0.44,18.2,63.75
100年 3月,嘉義縣,122.66,0.0,99.5,4.0,0.43,14.45,67.5
100年 3月,屏東縣,113.52,0.0,82.1,4.0,0.45,12.6,74.5
100年 3月,臺東縣,66.21,0.0,39.0,2.1,0.42,7.7,52.9
100年 3月,花蓮縣,58.59,0.0,40.9,2.6,0.5,13.3,54.1
100年 3月,澎湖縣,56.22,0.0,0.0,0.0,0.0,0.0,0.0
100年 3月,基隆市,62.14,0.0,46.9,3.4,0.45,14.2,57.9
100年 3月,新竹市,65.61,0.0,68.7,3.8,0.49,20.1,53.8
100年 3月,嘉義市,138.88,0.0,107.1,4.8,0.58,22.8,65.4
